iter	Logloss
0	0.6919714293
1	0.6911386527
2	0.6903693604
3	0.6897281526
4	0.6888528252
5	0.6879686987
6	0.6871087517
7	0.6862563862
8	0.6853553857
9	0.6843675844
10	0.6838227079
11	0.6835001776
12	0.682645531
13	0.6816797806
14	0.681449657
15	0.681045948
16	0.6803909681
17	0.6796239681
18	0.6793095057
19	0.6784715771
20	0.6777536982
21	0.6770532819
22	0.6762989965
23	0.6755906849
24	0.6749210112
25	0.6745236824
26	0.6739595681
27	0.6732091941
28	0.6725678841
29	0.6718488753
30	0.671305082
31	0.6706140796
32	0.6701415672
33	0.6694755932
34	0.6687762144
35	0.6681663403
36	0.6675626177
37	0.6670526811
38	0.6665215558
39	0.6659933061
40	0.6654753943
41	0.6649426621
42	0.6642820414
43	0.663620338
44	0.6631104219
45	0.6624982041
46	0.6620046466
47	0.6612348323
48	0.6607575124
49	0.6606868853
50	0.6600701397
51	0.6595273181
52	0.6588509237
53	0.658392017
54	0.6581504669
55	0.6579124437
56	0.6573444119
57	0.6570372369
58	0.6565374135
59	0.6561769034
60	0.6556233593
61	0.655165877
62	0.6544434274
63	0.6542301325
64	0.6540707739
65	0.653474742
66	0.6529008944
67	0.6526680004
68	0.6524096411
69	0.652196511
70	0.6517336904
71	0.6512787325
72	0.651015662
73	0.650558363
74	0.6499981593
75	0.6494310338
76	0.6490535948
77	0.648676489
78	0.6482200256
79	0.6478762692
80	0.6474154905
81	0.6470754507
82	0.6467058832
83	0.6463069732
84	0.6460138287
